recency,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,history_segment_2) $100 - $200,history_segment_3) $200 - $350,history_segment_4) $350 - $500,history_segment_5) $500 - $750,"history_segment_6) $750 - $1,000","history_segment_7) $1,000 +",zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,uplift_score,baseline_conversion_prob,cost,roi_score,cumulative_customers,cumulative_cost,cumulative_incremental_conversions
3,813.12,1,1,1,Persuadables,1,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.04688231702826,0.0053384230588959,0.1,0.46882317028259995,1,0.1,0.04688231702826
2,807.73,1,1,1,Persuadables,0,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.046334766814612,0.0071883063507955,0.1,0.46334766814612,2,0.2,0.093217083842872
3,839.09,1,1,1,Persuadables,0,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0455221111246328,0.0056325160526332,0.1,0.45522111124632797,3,0.30000000000000004,0.1387391949675048
3,839.48,1,1,1,Persuadables,0,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.0455221111246328,0.0056325160526332,0.1,0.45522111124632797,4,0.4,0.18426130609213762
3,799.28,1,1,1,Persuadables,1,1,110.71,1,False,False,False,False,True,False,False,True,False,False,0.0451870039453044,0.0053384230588959,0.1,0.451870039453044,5,0.5,0.229448310037442
2,823.96,1,1,1,Persuadables,0,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.0451142029831038,0.0071883063507955,0.1,0.45114202983103796,6,0.6,0.2745625130205458
2,822.76,1,1,1,Persuadables,1,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.0451142029831038,0.0071883063507955,0.1,0.45114202983103796,7,0.7,0.3196767160036496
3,854.8,1,1,1,Persuadables,1,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0450992489043733,0.006006601355516,0.1,0.45099248904373296,8,0.7999999999999999,0.3647759649080229
3,880.15,1,1,1,Persuadables,1,1,110.36,1,False,False,False,False,True,False,False,True,False,False,0.0447433686628642,0.0114354223207908,0.1,0.44743368662864197,9,0.8999999999999999,0.4095193335708871
2,879.73,1,1,1,Persuadables,0,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0444557010594109,0.0139725123751752,0.1,0.44455701059410896,10,0.9999999999999999,0.453975034630298
2,799.02,1,1,1,Persuadables,1,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0443213762201826,0.0071883063507955,0.1,0.44321376220182596,11,1.0999999999999999,0.4982964108504806
2,878.82,1,1,1,Persuadables,1,1,36.89,0,False,False,False,False,True,False,False,True,False,False,0.0442908658945757,0.0140553115204743,0.1,0.44290865894575693,12,1.2,0.5425872767450562
3,871.28,1,1,1,Persuadables,0,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0441551463259375,0.0062389481883301,0.1,0.44155146325937494,13,1.3,0.5867424230709938
1,811.53,1,1,1,Persuadables,0,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0437793734919755,0.0072198982974691,0.1,0.437793734919755,14,1.4000000000000001,0.6305217965629693
1,808.23,1,1,1,Persuadables,1,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0437793734919755,0.0072198982974691,0.1,0.437793734919755,15,1.5000000000000002,0.6743011700549447
1,815.13,1,1,1,Persuadables,0,0,0.0,0,False,False,False,False,True,False,False,True,False,False,0.0436739615746369,0.0072198982974691,0.1,0.43673961574636894,16,1.6000000000000003,0.7179751316295816
2,880.5,1,1,1,Persuadables,0,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.0434227632666616,0.0139725123751752,0.1,0.43422763266661596,17,1.7000000000000004,0.7613978948962432
2,880.88,1,1,1,Persuadables,1,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.0426445886412713,0.0139725123751752,0.1,0.42644588641271297,18,1.8000000000000005,0.8040424835375145
2,880.61,1,1,1,Persuadables,1,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.0426445886412713,0.0139725123751752,0.1,0.42644588641271297,19,1.9000000000000006,0.8466870721787858
