recency,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,history_segment_2) $100 - $200,history_segment_3) $200 - $350,history_segment_4) $350 - $500,history_segment_5) $500 - $750,"history_segment_6) $750 - $1,000","history_segment_7) $1,000 +",zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,uplift_score,baseline_conversion_prob
6,329.08,1,1,1,Persuadables,0,0,0.0,0,False,True,False,False,False,False,False,False,False,True,0.009528174023337397,0.0075046473612604735
9,675.83,1,0,1,Persuadables,0,0,0.0,1,False,False,False,True,False,False,False,False,False,True,0.01082451037749542,0.00587168205944108
9,675.07,1,1,1,Persuadables,0,0,0.0,1,False,False,False,True,False,False,False,False,True,False,0.011258947193293841,0.0067010998209244155
2,101.64,0,1,0,Sleeping Dogs,1,0,0.0,1,True,False,False,False,False,False,False,True,False,True,-0.00848909699214467,0.015295936723922456
4,241.42,0,1,1,Lost Causes,0,0,0.0,0,False,True,False,False,False,False,False,False,False,False,0.004558582769535736,0.004440164897706192
3,58.13,1,0,1,Persuadables,1,0,0.0,0,False,False,False,False,False,False,False,True,False,True,0.006566911869042794,0.0039128041259145615
5,29.99,1,0,0,Sure Things,0,0,0.0,1,False,False,False,False,False,False,True,False,True,False,0.0008607714883253365,0.00508537657665619
9,112.35,1,0,0,Lost Causes,0,0,0.0,1,True,False,False,False,False,False,False,False,False,True,0.0010989859011978917,0.003928443414139989
11,219.04,1,1,0,Persuadables,0,0,0.0,1,False,True,False,False,False,False,True,False,True,False,0.014008557093321211,0.004116599065322698
5,828.42,1,0,1,Persuadables,0,0,0.0,1,False,False,False,False,True,False,True,False,False,False,0.009691571187859323,0.002536284034038859
9,29.99,0,1,1,Lost Causes,0,0,0.0,0,False,False,False,False,False,False,True,False,True,False,0.005279502832531514,0.0008795080167705152
11,182.32,1,0,0,Persuadables,0,0,0.0,1,True,False,False,False,False,False,True,False,True,False,0.010779499146261529,0.008474128478905791
2,118.4,1,0,0,Lost Causes,1,0,0.0,1,True,False,False,False,False,False,True,False,False,True,0.0035453536871278475,0.002818585829879004
2,29.99,0,1,1,Persuadables,0,0,0.0,0,False,False,False,False,False,False,False,True,True,False,0.007597319278414611,0.0040636672311896134
4,78.24,1,0,0,Persuadables,0,0,0.0,0,False,False,False,False,False,False,True,False,False,True,0.006721835350559256,0.003282043459751232
6,139.87,0,1,1,Sleeping Dogs,0,0,0.0,1,True,False,False,False,False,False,False,False,False,True,-0.0005054523705764541,0.005308354218451816
12,115.39,0,1,0,Lost Causes,1,0,0.0,1,True,False,False,False,False,False,True,False,True,False,0.0018016526801221482,0.003734569436559989
6,162.98,0,1,0,Lost Causes,0,0,0.0,1,True,False,False,False,False,False,True,False,False,True,0.006130614219669239,0.0018160241611423537
7,435.73,0,1,1,Sure Things,0,0,0.0,0,False,False,True,False,False,False,False,True,False,True,0.003745124709532992,0.007405596101779072
2,203.35,1,0,0,Persuadables,0,0,0.0,0,False,True,False,False,False,False,False,False,False,True,0.012143809600469926,0.015768624509393498
9,334.24,1,0,0,Persuadables,0,0,0.0,1,False,True,False,False,False,False,False,True,False,True,0.014617864397467905,0.004196576947114932
6,128.01,0,1,0,Sleeping Dogs,0,0,0.0,1,True,False,False,False,False,False,False,True,False,True,-0.001615325812312844,0.0038019804732059535
9,29.99,1,0,1,Lost Causes,0,0,0.0,1,False,False,False,False,False,False,True,False,True,False,0.0031497248134379277,0.0008531903549834217
1,514.52,0,1,1,Persuadables,0,0,0.0,1,False,False,False,True,False,False,True,False,False,True,0.007141505952858713,0.01429569197701137
4,766.47,1,1,1,Persuadables,0,0,0.0,1,False,False,False,False,True,False,False,True,False,False,0.022966753761232396,0.00548355603133411
7,520.43,0,1,1,Sure Things,0,0,0.0,1,False,False,False,True,False,False,True,False,False,True,0.004517800384085017,0.007112943328340799
11,236.97,1,1,1,Persuadables,0,0,0.0,1,False,True,False,False,False,False,False,True,True,False,0.010415787014337418,0.0011721230610768267
3,99.23,1,0,0,Persuadables,1,0,0.0,1,False,False,False,False,False,False,False,False,False,True,0.007007232980988478,0.008394480508359985
